id,sentiment
12311_10,0.99999464
8348_2,0.00013099008
5828_4,0.043231424
7186_2,0.99894476
12128_7,0.99992543
2913_8,0.9995775
4396_1,0.0027576592
395_2,0.15745881
10616_1,0.00380988
9074_9,0.00022086207
9252_3,0.00056120753
9896_9,0.79810375
574_4,0.0017612634
11182_8,0.9999226
11656_4,0.14743371
2322_4,0.0143628
8703_1,0.0029382817
7483_1,4.2407784e-05
6007_10,0.9997803
12424_4,1.6060351e-06
4672_1,1.9064274e-06
10841_3,0.9815016
8954_7,0.3091604
7392_1,1.0765783e-05
10288_8,0.999997
5343_4,0.0006912957
4950_1,1.45462245e-05
9257_4,0.99768776
8689_3,5.0943563e-06
4480_2,0.016712725
9286_10,0.9999358
12245_10,0.9999918
7529_7,0.0054912167
4_4,0.00036447955
5299_2,4.6395493e-05
12077_8,0.99986184
10701_2,0.003905109
11579_1,0.001051875
10993_1,0.05907489
8913_1,0.9997875
1350_3,6.557836e-05
3804_2,0.003172045
5025_3,7.618424e-05
5170_8,0.9998714
8225_8,0.9999921
6427_7,0.99999416
3165_3,0.8806488
7902_9,0.9999985
8208_3,9.158715e-05
3577_8,0.0011697833
4865_1,2.3219252e-05
9063_3,0.9963168
1106_1,0.17944553
1117_9,0.99999857
1050_4,0.00018583961
10755_9,0.9452464
2729_8,0.99145776
10072_10,0.9999994
2904_7,0.9999952
4584_2,0.82682997
189_4,0.005293869
6302_4,0.010904163
8138_9,0.9988087
1262_1,0.0028726591
2199_10,0.99999803
6551_7,0.8586055
8082_7,0.024909394
4897_8,0.9999973
7360_1,0.99913657
11012_10,0.9998272
12046_1,0.45446742
2331_2,0.9834959
8961_9,0.99999326
751_7,0.19535415
9884_10,0.9999822
10016_8,0.9999845
8023_10,0.9999963
2628_1,8.105153e-06
5832_1,3.0333408e-06
7302_1,1.1159889e-06
4501_3,0.0012971357
1121_7,0.9971166
8334_3,0.39835724
9789_10,0.0031136347
4230_10,0.9996633
824_4,0.025581762
6803_9,0.99999154
3086_7,0.9999779
1135_8,0.9999918
10136_1,1.37626475e-05
11129_3,0.0033633616
2072_8,0.9978827
9501_7,0.99999964
319_10,0.99992335
1693_7,0.9999812
10886_1,5.0037343e-05
9406_8,0.52673566
10376_10,0.007645364
9902_1,0.046175465
9938_8,0.9839509
7080_9,0.08525008
11944_8,0.9672086
5249_1,1.1188555e-05
9599_2,0.9993057
9620_1,0.9965965
11244_1,1.2035869e-06
6841_10,0.9999758
10050_4,0.0005827867
10512_9,0.99507856
11327_3,5.1269144e-05
10681_8,0.9987312
808_3,0.98621494
546_7,0.99999505
10765_1,1.5858785e-05
7189_9,0.99993294
6005_9,0.9989353
11915_9,0.99998075
5740_10,0.99997914
7097_10,0.9984928
9573_10,0.99998707
5084_4,0.99957323
12332_7,0.9999518
8154_1,0.0021151216
5610_1,0.00017291812
5323_9,0.99976146
11034_8,0.9999974
3977_2,0.0014715042
12380_7,0.00027042013
1737_8,0.90079564
6030_9,0.9999294
5918_7,0.9741548
7061_9,0.9994005
266_8,0.9999637
1375_10,0.9999943
8648_3,1.1875844e-06
10146_10,0.9999819
4578_10,0.9999056
4685_8,0.99999976
11843_9,0.9999983
5467_10,0.99998343
10140_10,0.9999955
7721_8,0.9999648
11208_10,0.5574306
1063_10,0.99986595
8260_10,0.72441894
3182_9,0.9999912
2797_8,0.9996347
7613_2,0.9997196
11624_4,0.000832001
4847_10,0.9969194
10684_7,0.22219868
6312_1,0.9973359
4925_3,0.002502287
4125_1,3.245749e-07
2394_10,0.9999951
12105_10,0.99996775
7812_1,0.0030937293
1061_8,0.00052573584
9343_3,0.9995487
7696_10,0.99998176
9355_10,0.9958926
782_9,0.99999106
9882_10,0.9999713
10642_10,0.9999759
7410_2,0.002156452
9591_4,0.0056545385
11902_3,4.2548916e-05
3495_7,0.99991864
6733_1,0.0047498317
4552_1,1.1964099e-07
6722_1,0.0045370315
188_10,0.99999446
5099_10,0.99999815
10313_1,0.0061092777
6756_9,0.99996775
6622_2,0.0006120493
4807_10,0.9999993
7173_3,0.01578028
11321_8,0.003953766
7909_9,0.99999744
8012_7,0.22003768
8615_4,0.0010016417
8117_10,0.99998504
1892_10,0.97148746
4617_1,0.00046230404
1893_8,0.9997099
5435_1,0.91055316
162_3,0.20946026
6516_10,0.99999595
11588_7,0.9999939
2006_1,8.447623e-05
1594_4,8.033517e-06
1472_1,0.0028978593
3647_1,0.050389893
174_7,0.99981004
5539_7,0.0032255247
3384_10,0.9996003
3811_4,0.99626964
4079_8,0.00016864215
1179_7,0.9999664
3069_9,0.9999846
3769_8,0.99999624
9247_10,0.999988
10434_1,2.4023811e-06
1147_10,0.99998623
5344_7,0.9395597
8073_10,0.9999445
7833_3,0.00036215514
8370_1,0.001255906
9007_8,0.020139791
6624_7,0.5953406
6683_3,0.040632565
12275_7,0.98802316
11927_8,0.9999817
1560_10,0.9999899
1325_9,0.04635554
3548_8,0.99999547
607_1,2.2541979e-06
